"date","firefox","chrome","safari"
"2023-01-01",72.44,81.41,72.64
"2023-01-02",72.47,81.37,72.89
"2023-01-03",72.47,81.42,72.88
"2023-01-04",72.39,81.43,72.92
"2023-01-05",72.39,81.46,72.94
"2023-01-06",72.48,81.53,72.94
"2023-01-07",72.48,81.53,72.94
"2023-01-08",72.48,81.57,72.94
"2023-01-09",72.53,81.53,73.03
"2023-01-10",72.53,81.59,73.11
"2023-01-11",72.63,81.60,73.28
"2023-01-12",72.58,81.53,73.28
"2023-01-13",72.62,83.64,81.44
"2023-01-14",72.68,83.94,81.92
"2023-01-15",72.68,83.87,81.99
"2023-01-16",72.80,83.90,82.06
"2023-01-17",72.82,83.97,82.18
"2023-01-18",72.82,83.92,82.18
"2023-01-19",73.28,83.90,82.18
"2023-01-20",73.29,84.19,82.15
"2023-01-21",73.30,84.27,82.20
"2023-01-22",73.29,84.31,82.18
"2023-01-23",73.29,84.24,82.13
"2023-01-24",73.45,84.25,82.29
"2023-01-25",73.60,84.29,82.90
"2023-01-26",73.50,84.50,83.03
"2023-01-27",73.61,84.50,83.09
"2023-01-28",73.61,84.58,83.27
"2023-01-29",73.61,84.58,83.23
"2023-01-30",73.61,84.58,83.27
"2023-01-31",73.61,84.47,83.28
"2023-02-01",73.61,84.53,83.27
"2023-02-02",73.71,84.84,83.39
"2023-02-03",73.71,84.85,83.36
"2023-02-05",73.71,84.83,83.34
"2023-02-06",73.80,84.68,83.27
"2023-02-07",73.80,84.72,83.22
"2023-02-08",73.89,84.70,83.58
"2023-02-09",73.89,84.77,83.59
"2023-02-10",73.88,85.51,83.64
"2023-02-11",73.89,85.57,83.65
"2023-02-12",73.88,85.61,83.60
"2023-02-13",73.88,85.57,83.65
"2023-02-14",74.10,85.56,83.81
"2023-02-15",74.33,85.49,83.78
"2023-02-16",74.43,85.56,83.81
"2023-02-17",74.47,85.47,83.81
"2023-02-18",74.48,85.53,83.84
"2023-02-19",74.48,85.57,83.83
"2023-02-20",74.48,85.57,83.83
"2023-02-21",74.52,85.50,83.78
"2023-02-22",74.75,85.49,83.83
"2023-02-23",74.75,85.92,85.59
"2023-02-24",74.85,85.88,85.60
