"date","firefox","chrome","safari"
"2026-01-02",51.96,77.88,60.06
"2026-01-03",51.83,77.96,60.06
"2026-01-04",51.34,77.83,60.09
"2026-01-05",51.98,77.96,60.06
"2026-01-06",51.86,77.86,60.06
"2026-01-07",52.01,77.96,60.05
"2026-01-08",52.03,77.90,60.06
"2026-01-09",52.06,78.17,59.51
"2026-01-10",52.10,78.21,60.08
"2026-01-11",52.07,78.16,60.08
"2026-01-12",52.09,78.22,60.09
"2026-01-15",52.12,78.11,61.22
"2026-01-16",52.12,78.17,61.24
"2026-01-17",52.12,78.25,61.22
"2026-01-18",52.06,78.21,61.24
"2026-01-19",53.03,78.26,62.24
"2026-01-21",53.48,79.92,62.21
"2026-01-22",53.55,79.84,62.30
"2026-01-23",53.79,79.89,62.34
"2026-01-24",53.85,79.98,62.34
"2026-01-25",53.81,79.91,62.38
"2026-01-26",53.78,79.88,62.35
"2026-01-27",54.24,79.88,62.33
"2026-01-28",54.26,79.97,62.33
"2026-01-29",54.48,80.14,62.30
"2026-01-30",54.51,80.07,62.28
"2026-01-31",54.48,80.16,62.32
"2026-02-01",54.52,80.14,62.26
"2026-02-02",54.52,80.17,62.32
"2026-02-03",54.53,80.09,62.32
"2026-02-04",54.52,80.11,62.29
"2026-02-05",57.35,84.80,62.26
"2026-02-06",57.30,84.93,62.32
"2026-02-07",57.40,84.89,62.29
"2026-02-09",58.16,84.89,62.28
"2026-02-10",58.23,84.91,62.32
"2026-02-11",61.28,84.94,62.48
"2026-02-12",61.34,84.93,62.77
"2026-02-13",61.34,84.93,62.77
"2026-02-14",61.27,85.05,62.88
"2026-02-15",61.61,85.05,62.88
"2026-02-16",61.62,85.00,62.81
"2026-02-17",61.62,85.03,62.88
"2026-02-18",61.62,85.03,62.86
"2026-02-19",61.62,84.99,62.85
"2026-02-20",62.40,85.05,62.84
"2026-02-21",62.40,85.05,62.81
"2026-02-22",62.39,85.03,62.81
"2026-02-23",62.40,85.03,62.84
"2026-02-24",63.51,85.90,63.83
"2026-02-25",63.51,85.89,63.83
"2026-02-26",66.03,85.91,64.85
"2026-02-27",66.86,88.62,70.53
"2026-02-28",66.95,88.47,70.00
"2026-03-01",66.95,88.62,70.97
"2026-03-02",66.95,88.62,70.56
"2026-03-03",66.97,88.67,70.53
"2026-03-04",67.06,88.86,70.00
"2026-03-05",66.62,88.89,70.52
"2026-03-06",67.29,88.89,71.52
"2026-03-07",67.27,88.70,70.55
"2026-03-08",67.28,88.72,70.52
"2026-03-09",67.28,88.72,71.00
"2026-03-10",67.29,88.72,69.79
"2026-03-11",67.29,88.72,70.48
"2026-03-12",67.28,88.70,70.01
"2026-03-13",67.35,88.77,71.55
"2026-03-14",67.39,88.64,70.60
"2026-03-15",67.39,88.75,70.58
"2026-03-16",67.39,88.72,71.56
"2026-03-17",67.39,88.70,70.01
"2026-03-18",67.42,88.77,70.56
"2026-03-27",69.34,89.35,74.45
"2026-03-28",69.34,89.36,73.88
"2026-03-29",69.33,89.36,73.45
"2026-03-30",69.33,89.36,74.01
"2026-03-31",69.34,89.36,73.98
"2026-04-01",69.34,89.42,74.01
"2026-04-02",70.03,89.83,73.88
"2026-04-03",70.02,90.19,75.42
"2026-04-04",70.08,90.25,74.25
"2026-04-05",70.08,90.19,74.43
"2026-04-06",70.08,90.19,73.83
"2026-04-08",69.93,90.05,73.89
"2026-04-13",70.61,90.13,74.65
"2026-04-15",70.53,90.09,74.65
"2026-04-21",70.03,89.27,75.54
"2026-04-26",70.10,89.27,85.86
"2026-04-30",70.86,89.84,86.25
"2026-05-01",71.18,90.20,85.96
"2026-05-02",71.31,90.14,86.67
"2026-05-04",71.66,90.03,85.62
"2026-05-05",71.33,89.98,84.83
"2026-05-06",71.35,89.98,85.43
"2026-05-07",76.09,94.70,85.97
"2026-05-08",76.19,94.69,86.82
"2026-05-09",76.19,94.58,86.54
"2026-05-10",76.19,94.64,85.98
"2026-05-11",76.17,94.64,85.82
"2026-05-12",76.05,94.61,87.53
"2026-05-13",76.11,95.12,85.97
"2026-05-14",76.06,95.50,86.72
"2026-05-15",76.45,95.56,86.75
"2026-05-16",76.45,95.56,86.16
"2026-05-17",80.83,95.58,86.57
"2026-05-18",80.83,95.55,85.52
"2026-05-19",80.86,95.64,86.75
"2026-05-20",81.09,96.14,86.70
"2026-05-21",81.58,95.88,86.75
"2026-05-22",81.70,96.19,86.42
"2026-05-23",81.69,96.17,86.23
"2026-05-24",81.70,96.25,86.23
"2026-05-25",81.70,96.19,86.79
"2026-05-26",81.70,96.19,86.23
"2026-05-27",81.72,96.18,86.23
