"Bug","Alias","Title","Product","Component","Resolution","User Story","Depends On"
1878105,"interop-2024-layout","[meta] Interop 2024 Layout","Core","Layout","","platform-scheduled:2025-02-15","1310551;1500622;1634325;1650885;1703401;1712251;1712862;1718365;1737353;1740236;1833481;1840778;1840782;1840944;1840957;1841298;1841299;1841300;1841301;1841303;1841304;1841317;1841663;1841696;1841697;1848441;1867882;1878123;1878128;1902793;1902795;1300366;1481876;1521088;1663035;1714951;1716493;1719002;1732317;1785914;1819703;1840779;1841315;1841316;1841677;1841678;1841679;1841684;1841693;1841694;1841695;1841698;1841699;1841700;1848253;1850042;1850139;1850142;1865438;1866930;1878109;1878116;1878117;1878125;1878127;1878130;1878371;1878372;1878373;1878374;1906145;1955109"
1884882,"interop-2024-events","[meta] Interop 2024 Pointer and Mouse Events","Core","DOM: Events","","platform-scheduled:2025-06-30","1645239;1647540;1656377;1675246;1680669;1793267;1819938;1885223;1885232;1885249;1888013;1914546;1914560;1918418;1938528;1948978;1961318;1966551"
1948267,"interop-2025-writingmodes","[Meta] [Interop 2025] Writing Modes","Core","Layout: Text and Fonts","FIXED","platform-scheduled:2025-03-15","1310551;1951817;1958314;1769799;1789464;1949064;1949148;1949149;1949151;1949153;1950252;1950579;1950721;1950732;1950739;1950758;1952556;1954762;1955008;1955921;1957710;1958022;1958228;1959395;1961753"
1948268,"interop-2025-anchor-positioning","[meta] [Interop 2025] CSS Anchor Positioning","Core","CSS Parsing and Computation","","platform-scheduled:2025-11-31",1838746
1948271,"interop-2025-scope","[meta] [Interop 2025] Scope","Core","CSS Parsing and Computation","","platform-scheduled: 2025-10-31",1830512
1948273,"interop-2025-mutation-events","[meta] [Interop 2025] Remove mutation events","Core","DOM: Events","FIXED","platform-scheduled:2025-05-15",769207
1948275,"interop-2025-navigation-api","[meta] [Interop 2025] Navigation API","Core","DOM: Navigation","","platform-scheduled:2025-10-31","1663090;1777171;1988930"
1948278,"interop-2025-backdrop-filter","[meta] [Interop 2025] backdrop-filter","Core","Graphics: WebRender","FIXED","platform-scheduled:2025-08-01
target-release:143","1952103;1973148;1974096;1974106;1974343;1974351;1974906;1974907;1975059;1975352"
1948280,"interop-2025-storageaccess","[meta] [Interop 2025] Storage Access API","Core","Privacy: Anti-Tracking","","platform-scheduled:2025-03-10",""
1948284,"interop-2025-core-web-vitals","[meta] [interop 2025] Core Web Vitals","Core","Performance: General","","platform-scheduled: 2025-06-30","1974035;1991588;1934683;1948647;1954610;1963464;1963917;1965441;1968204;1972151;1991587"
1948286,"interop-2025-scrollend","[meta] [Interop 2025] scrollend event","Core","Panning and Zooming","FIXED","platform-scheduled:2025-07-01
target-release:142","1785102;1945692;1955130;1964903"
1948289,"interop-2025-details","[meta] [Interop 2025] details element","Core","DOM: Core & HTML","FIXED","platform-scheduled:2025-08-12","1724299;1761043;1901037;1941406;1954142;1955379;1958287;1959597"
1948294,"interop-2025-view-transitions","[meta] [Interop 2025] View Transitions","Core","CSS Parsing and Computation","","platform-scheduled:2025-08-29","1823896;1956075;1956140;1956141"
1948295,"interop-2025-urlpattern","[meta] [Interop 2025] URLPattern","Core","DOM: Networking","FIXED","platform-scheduled:2025-06-30","1731418;1948330;1974216;1974277"
1948300,"interop-2025-webrtc","[meta] [Interop 2025] WebRTC","Core","WebRTC","","platform-scheduled: 2025-10-01","1209163;1927886;1948971;1969293;2008807"
1948302,"interop-2025-webcompat","[meta] [Interop 2025] Web Compat","Core","General","","platform-scheduled:2025-05-27","1914596;1944404;1730147;1938683;1941949;1948695;1951003;1951011;1951562;1951775;1955476;1964903"
1948305,"interop-2025-modules","[meta] [Interop 2025] Modules","Core","JavaScript Engine","FIXED","platform-scheduled:2025-03-15","1736059;1970181"
1948307,"interop-2025-text-decoration","[Meta] [Interop 2025] text-decoration","Core","Layout: Text and Fonts","FIXED","platform-scheduled:2025-03-10","1950844;1978721;1980229;1980562"
1948310,"interop-2025-webassembly","[meta] [Interop 2025] WebAssembly","Core","JavaScript: WebAssembly","","platform-scheduled:2025-06-30","1925083;1988694;1988702"
