"date","firefox","chrome","safari"
"2025-01-01",47.37,80.96,43.88
"2025-01-02",47.27,80.96,43.89
"2025-01-03",47.29,80.94,43.89
"2025-01-04",47.40,80.98,43.84
"2025-01-06",47.42,80.98,43.91
"2025-01-07",47.25,80.93,43.89
"2025-01-08",47.44,80.95,43.89
"2025-01-09",47.65,81.20,44.25
"2025-01-10",47.77,81.53,44.38
"2025-01-11",47.84,81.41,44.34
"2025-01-12",47.79,81.42,44.34
"2025-01-13",45.74,81.51,44.30
"2025-01-14",45.76,81.51,44.38
"2025-01-24",46.21,81.76,47.15
"2025-01-25",46.21,81.72,47.10
"2025-01-26",46.26,81.68,47.12
"2025-01-27",46.26,81.75,47.07
"2025-01-29",46.51,81.85,47.14
"2025-01-30",46.45,81.85,47.11
"2025-01-31",46.49,81.85,47.03
"2025-02-01",46.40,81.87,47.19
"2025-02-02",46.57,81.85,47.14
"2025-02-03",48.53,87.09,48.72
"2025-02-04",48.63,87.14,48.69
"2025-02-05",48.59,86.71,48.74
"2025-02-06",48.77,87.19,48.74
"2025-02-07",48.65,87.19,48.71
"2025-02-08",48.47,87.15,48.69
"2025-02-09",48.56,87.10,48.76
"2025-02-10",48.56,87.14,48.77
"2025-02-11",48.55,87.19,48.76
"2025-02-12",51.23,89.90,48.74
"2025-02-13",51.11,89.75,54.04
"2025-02-14",51.11,89.81,54.11
"2025-02-15",51.29,89.90,54.12
"2025-02-16",51.15,89.42,54.04
"2025-02-17",51.15,90.54,54.32
"2025-02-18",51.16,90.52,54.30
"2025-02-19",51.25,90.44,54.33
"2025-02-20",51.16,90.44,54.29
"2025-02-21",51.29,90.46,54.29
"2025-02-22",51.21,90.48,54.24
"2025-02-24",51.22,90.48,54.31
"2025-02-25",51.14,90.48,54.29
"2025-02-26",51.15,90.65,54.62
"2025-02-27",51.17,90.65,54.68
"2025-02-28",55.67,90.87,58.04
"2025-03-04",55.83,90.87,58.09
"2025-03-05",60.98,90.92,58.11
"2025-03-06",64.12,90.85,58.10
"2025-03-07",64.09,90.89,58.16
"2025-03-08",64.31,90.83,57.82
"2025-03-11",64.47,90.81,57.77
"2025-03-12",64.43,90.75,57.82
"2025-03-15",64.29,90.88,57.82
"2025-03-16",64.26,90.41,57.80
"2025-03-17",64.34,90.90,57.80
"2025-03-18",64.32,90.92,60.77
"2025-03-19",64.74,91.86,60.82
"2025-03-20",64.66,91.32,60.81
"2025-03-21",64.74,91.75,60.75
"2025-03-22",64.74,91.77,60.74
"2025-03-23",64.78,91.76,60.71
"2025-03-24",65.01,91.73,60.70
"2025-03-25",64.81,91.73,60.70
"2025-03-26",67.53,91.72,60.83
"2025-03-27",67.64,91.67,60.87
"2025-03-28",67.58,91.69,60.87
"2025-03-29",67.58,91.64,60.82
"2025-03-31",67.64,91.75,60.85
"2025-04-02",68.47,91.78,60.89
"2025-04-03",68.79,91.74,60.89
"2025-04-04",68.88,91.72,61.53
"2025-04-05",69.69,91.78,61.55
"2025-04-07",69.74,91.72,61.53
"2025-04-08",69.78,91.74,61.51
"2025-04-09",69.74,91.81,61.53
"2025-04-10",69.72,91.75,61.56
"2025-04-11",69.78,91.78,61.53
"2025-04-14",69.81,91.77,61.51
"2025-04-15",69.84,91.78,61.38
"2025-04-16",69.94,91.83,62.90
"2025-04-17",69.86,91.65,62.89
"2025-04-18",69.82,91.81,62.86
"2025-04-19",69.82,91.72,62.91
"2025-04-21",69.80,91.81,62.89
"2025-04-22",71.53,91.84,62.87
"2025-04-23",71.48,91.77,62.90
"2025-04-24",71.42,91.67,62.97
"2025-04-25",71.44,91.74,62.96
"2025-04-26",73.91,91.72,62.96
"2025-04-28",74.03,91.74,62.83
"2025-04-29",73.84,91.83,62.80
"2025-04-30",73.89,91.83,62.85
"2025-05-01",73.84,91.79,63.06
"2025-05-02",73.89,91.69,63.12
"2025-05-03",73.89,91.79,63.10
"2025-05-04",73.87,91.85,63.09
"2025-05-05",73.89,91.78,63.10
"2025-05-09",75.29,91.85,63.09
"2025-05-10",75.31,91.80,63.15
"2025-05-12",75.39,91.89,63.11
"2025-05-13",75.38,91.40,63.06
"2025-05-14",75.22,91.77,63.04
"2025-05-15",75.20,91.73,63.15
"2025-05-16",75.22,91.77,63.23
"2025-05-17",75.21,91.83,63.17
"2025-05-19",75.38,91.82,63.23
"2025-05-20",75.41,91.81,63.23
"2025-05-21",75.38,91.75,63.25
"2025-05-22",75.47,91.83,63.28
"2025-05-23",75.64,91.87,63.26
"2025-05-24",75.58,91.97,63.23
"2025-05-25",75.60,92.03,63.25
"2025-05-26",75.60,92.01,63.23
"2025-05-27",75.73,92.01,63.25
"2025-05-28",76.40,91.86,63.22
"2025-05-29",76.51,92.09,63.18
"2025-05-31",76.53,92.15,63.14
"2025-06-01",76.54,92.15,63.14
"2025-06-03",76.75,92.15,63.18
"2025-06-04",76.74,92.15,63.15
"2025-06-05",76.83,92.15,63.03
"2025-06-06",76.90,92.15,63.14
"2025-06-07",76.85,92.15,63.14
"2025-06-09",76.90,92.15,63.14
"2025-06-13",76.92,92.13,63.74
"2025-06-14",76.87,92.15,63.67
"2025-06-15",76.87,92.06,63.74
"2025-06-16",77.11,92.15,63.74
"2025-06-17",77.11,92.06,63.75
"2025-06-18",76.98,92.08,63.67
"2025-06-19",77.17,92.08,63.69
"2025-06-20",77.17,92.08,63.52
"2025-06-21",77.17,92.08,63.63
"2025-06-24",77.48,92.06,63.52
"2025-06-25",77.48,91.99,63.69
"2025-06-26",82.67,92.08,63.62
"2025-06-27",82.60,92.03,63.61
"2025-06-28",82.60,92.07,63.63
"2025-06-29",82.65,92.07,63.61
"2025-07-01",84.02,92.07,63.71
"2025-07-02",83.95,92.20,64.23
"2025-07-03",84.28,92.20,64.20
"2025-07-04",84.32,92.15,64.19
"2025-07-07",84.34,92.27,64.20
"2025-07-09",84.46,92.03,64.20
"2025-07-10",84.54,92.34,64.36
"2025-07-11",84.54,92.31,64.67
"2025-07-12",84.56,92.31,64.64
"2025-07-14",84.61,92.31,64.63
"2025-07-15",84.59,92.31,64.64
"2025-07-25",84.88,92.90,66.12
"2025-07-28",84.83,92.88,66.15
"2025-07-29",84.88,92.75,66.18
"2025-07-31",84.69,92.47,66.11
"2025-08-04",84.75,92.49,66.19
"2025-08-06",84.75,92.49,66.16
"2025-08-07",84.86,92.49,66.33
"2025-08-08",84.79,92.49,66.62
"2025-08-09",85.36,92.49,66.61
"2025-08-13",86.42,92.72,66.56
"2025-08-19",86.52,93.24,66.65
"2025-08-21",86.59,93.21,75.85
"2025-08-22",86.85,92.93,75.84
"2025-08-26",87.13,93.61,76.03
"2025-09-02",87.19,92.35,76.21
"2025-09-07",87.21,92.35,81.82
"2025-09-08",87.19,92.26,81.79
"2025-09-09",87.37,92.35,81.92
"2025-09-10",87.76,92.31,81.83
"2025-09-12",87.84,93.24,81.77
"2025-09-17",87.86,93.10,81.98
"2025-09-18",87.98,93.20,87.64
"2025-09-19",87.83,93.95,87.82
"2025-09-23",87.99,94.16,87.93
"2025-09-24",87.98,93.91,87.72
"2025-09-25",88.29,93.92,87.83
"2025-09-26",88.29,93.94,87.79
"2025-09-27",90.85,93.46,88.08
"2025-09-28",90.89,93.89,87.93
"2025-09-29",90.96,93.94,88.07
"2025-09-30",91.05,93.91,88.00
"2025-10-01",91.03,93.96,88.03
"2025-10-02",90.99,94.00,91.52
"2025-10-03",90.89,93.61,93.92
"2025-10-04",91.22,93.94,93.91
"2025-10-06",91.20,93.98,93.91
"2025-10-07",91.22,93.98,93.91
"2025-10-08",91.17,93.93,93.88
"2025-10-09",91.73,93.95,94.03
"2025-10-10",91.78,94.28,94.02
"2025-10-11",91.76,94.14,93.98
"2025-10-12",91.78,94.23,94.01
"2025-10-13",91.76,93.75,94.01
"2025-10-14",91.62,94.21,94.02
"2025-10-15",91.77,94.21,94.03
"2025-10-17",91.81,94.25,97.42
"2025-10-18",91.85,94.16,97.42
"2025-10-19",91.85,94.21,97.34
"2025-10-20",91.85,94.25,97.44
"2025-10-21",91.84,94.21,97.55
"2025-10-22",91.88,94.21,97.50
"2025-10-23",92.35,94.21,97.93
"2025-10-24",92.29,94.51,96.54
"2025-10-25",92.29,94.29,96.55
"2025-10-27",92.29,94.10,97.88
"2025-10-28",92.34,94.60,97.96
